title,link,publication_date
Nike (NYSE: NKE) sells building for $103 million a year after scrapping factory plans - Phoenix Business Journal - Phoenix Business Journal,https://www.bizjournals.com/phoenix/news/2021/08/06/nike-sells-goodyear-building.html,2021-08-06
"Worldwide Licensed Sports Merchandise Industry to 2026 - Featuring Nike, Prada and Puma Among Others - ResearchAndMarkets.com - Business Wire",https://www.businesswire.com/news/home/20210817005594/en/Worldwide-Licensed-Sports-Merchandise-Industry-to-2026---Featuring-Nike-Prada-and-Puma-Among-Others---ResearchAndMarkets.com,2021-08-17
Nike’s Earnings Calls Provide A Winning Digital Transformation Playbook - Forbes,https://www.forbes.com/sites/noahbarsky/2021/07/27/nike-earnings-calls-provide-winning-digital-transformation-playbook/,2021-07-27
Nike CEO pressed on not addressing Chinese human rights abuses: 'China is a very important market for us' - Fox News,https://www.foxnews.com/media/nike-ceo-chinese-abuses-market,2021-08-06
"VIDEO ESSAY: THE STORY BEHIND NIKE'S ""WHAT IF"" CAMPAIGN - jenkemmag.com",https://www.jenkemmag.com/home/2021/08/17/video-essay-story-behind-nikes-campaign/,2021-08-17
How Black Employees at Nike and Intel Find Community in Portland Through Monthly Gatherings - Footwear News,https://footwearnews.com/2021/business/profiles/black-community-portland-growing-nike-intel-meeting-1203167535/,2021-08-16
Why You Should Care About NIKE's (NYSE:NKE) Strong Returns On Capital - Simply Wall St,https://simplywall.st/stocks/us/consumer-durables/nyse-nke/nike/news/why-you-should-care-about-nikes-nysenke-strong-returns-on-ca,2021-08-15
Nike Inc. Cl B stock outperforms competitors on strong trading day - MarketWatch,https://www.marketwatch.com/story/nike-inc-cl-b-stock-outperforms-competitors-on-strong-trading-day-01629148265-3d61e78ebd7e,2021-08-16
"18 Best Sneaker Brands in 2021: Nike, Adidas, New Balance, and More - GQ",https://www.gq.com/story/best-sneaker-brands,2021-07-29
"Yeti, like Nike, experienced a shutdown in a Vietnam manufacturing facility due to COVID - MarketWatch",https://www.marketwatch.com/story/yeti-like-nike-experienced-a-shutdown-in-a-vietnam-manufacturing-facility-due-to-covid-11628525010,2021-08-09
A Ma Maniere raises the bar for Air Jordan 1 collabs - Straatosphere,https://straatosphere.com/a-ma-maniere-air-jordan-1-leaks-nike/,2021-08-19
Best cheap sunglasses 2021: Nike to Ray-Ban - British GQ,https://www.gq-magazine.co.uk/fashion/gallery/best-cheap-sunglasses,2021-08-18
Drake's Latest Nike Collaboration Proves Celebrities Can't Get Enough Of This Sport - DMARGE,https://www.dmarge.com/2021/08/drake-nike-nocta-golf-collaboration-celebrity-golf-brands.html,2021-08-17
Projected No. 1 NBA draft pick Cade Cunningham signs multiyear endorsement deal with Nike - ESPN,https://www.espn.com/nba/story/_/id/31897084/projected-overall-nba-draft-pick-cade-cunningham-signs-multi-year-endorsement-deal-nike,2021-07-27
Why Nike's Stock Looks Ready For A Blue Sky Run - Benzinga - Benzinga,https://www.benzinga.com/trading-ideas/long-ideas/21/08/22470598/why-nikes-stock-looks-ready-for-a-blue-sky-run,2021-08-12
Ex-Nike exec Melanie Strong is taking on venture investing as partner at Next Ventures - Portland - Portland Business Journal,https://www.bizjournals.com/portland/news/2021/08/17/meet-melanie-strong-of-next-ventures.html,2021-08-17
"Furia splits with Nike, will now develop and produce its own apparel collection - Gamereactor UK",https://www.gamereactor.eu/furia-splits-with-nike-will-now-develop-and-produce-its-own-apparel-collection/,2021-08-18
"Chinese Suppliers to Apple, Nike Shun Xinjiang Workers as U.S. Forced-Labor Ban Looms - The Wall Street Journal",https://www.wsj.com/articles/chinese-suppliers-to-apple-nike-shun-xinjiang-workers-as-u-s-forced-labor-ban-looms-11626795627,2021-07-20
Team USA Basketball Trolls adidas Athlete Damian Lillard Forced to Wear Nike - HYPEBEAST,https://hypebeast.com/2021/8/team-usa-basketball-troll-adidas-damian-lillard-forced-wear-nike-info,2021-08-10
Kyrie Irving Addresses His Criticism of the Rumored Nike Kyrie 8 - Complex,https://www.complex.com/sneakers/kyrie-irving-addresses-nike-kyrie-8-comments,2021-08-03
Skechers’ Wholesale Business Directly Benefiting From Nike’s DTC Shift - Yahoo Finance,https://finance.yahoo.com/news/skechers-wholesale-business-directly-benefiting-144729785.html,2021-07-23
Nikes are getting harder to find at stores. Here's why - CNN,https://www.cnn.com/2021/03/22/business/nike-independent-shoe-stores/index.html,2021-03-22
Nike Refurbished Circularity Model - Nike News,https://news.nike.com/news/nike-refurbished-circularity-model,2021-04-12
"Nike taps the comfort trend with the launch of Go FlyEase, a no-lace slip-on sneaker - CNBC",https://www.cnbc.com/2021/02/01/nike-is-launching-a-slip-on-sneaker-without-any-laces-here.html,2021-02-01
Nike Executive Resigns Over Possible Ties to Sneaker Resale Business - The New York Times,https://www.nytimes.com/2021/03/02/us/ann-hebert-nike.html,2021-03-02
Nike sues the maker of Lil Nas X 'Satan Shoes' for trademark infringement - CNN,https://www.cnn.com/2021/03/29/business/satan-shoes-nike-lil-nas-x/index.html,2021-03-31
Nike brings hands-free entry shoes to the Olympics with the Glide FlyEase - The Verge,https://www.theverge.com/design/2021/7/1/22560002/nike-glide-flyease-olympics-sneakers,2021-07-01
'Satan Shoes' to be recalled as Nike agrees to settle lawsuit - BBC News,https://www.bbc.com/news/business-56684773,2021-04-09
"If you can't beat 'em, join 'em: How Nike cornered the running shoe market - CNN",https://www.cnn.com/2021/05/18/sport/nike-running-shoes-spt-intl-cmd/index.html,2021-05-18
Nike Phantom x Skepta and Nike Tailwind V x Skepta Red Release - Nike News,https://news.nike.com/footwear/nike-phantom-x-skepta-and-nike-tailwind-v-x-skepta-red-release,2021-05-13
"Nike Can’t Keep Doing This to Us, Can It? - Marker - Marker",https://marker.medium.com/nike-cant-keep-doing-this-to-us-can-it-54123f427e25,2021-02-19
